actual_price,predicted_price_lr,predicted_price_rf,residual_rf,residual_pct_rf,price_tier
533500,738411.1745748423,535601.2005522068,2101.2005522068357,0.39385202478103765,$500K-$1M
649300,753661.3320172152,599749.0390437903,-49550.96095620969,-7.631443239828998,$500K-$1M
4222100,1937027.8899857495,3817134.576632022,-404965.4233679781,-9.59156399346245,$2M+
522400,887924.5152862122,605113.7826931122,82713.78269311215,15.833419351667716,$500K-$1M
1129200,1080681.1110721803,834160.5168825475,-295039.4831174525,-26.128186602679104,$1M-$2M
568600,700739.2521499995,638247.0813132639,69647.08131326386,12.248871141973947,$500K-$1M
797200,515552.1843070745,781559.6617385559,-15640.338261444122,-1.9619089640547065,$500K-$1M
466400,557301.6237488403,508936.3151304799,42536.315130479925,9.1201361772041,<$500K
1009500,548646.3841612146,624366.1442921498,-385133.8557078502,-38.150951531238256,$1M-$2M
265300,421144.4145106245,550578.716318442,285278.716318442,107.53061301109763,<$500K
851300,1201114.8050168678,772898.2161292812,-78401.78387071879,-9.209653925845036,$500K-$1M
751500,760689.2495299681,727994.0497890696,-23505.95021093043,-3.127870952884954,$500K-$1M
2576000,1972600.3648636239,2913223.6966912975,337223.69669129746,13.090982014413722,$2M+
763600,870734.845636577,775345.4288827339,11745.428882733919,1.5381651234591303,$500K-$1M
432200,846817.4853509347,511475.4818431648,79275.48184316477,18.34231417009828,<$500K
1599123,2559136.4140003836,1360108.9256464185,-239014.07435358153,-14.946572237006253,$1M-$2M
980000,758420.086879828,807525.9095561993,-172474.09044380067,-17.599396984061293,$500K-$1M
582100,618318.5100210997,574296.0569120978,-7803.943087902153,-1.3406533392719726,$500K-$1M
1597900,1616293.2260334054,1388745.7071111083,-209154.29288889165,-13.089323042048417,$1M-$2M
242600,360150.9344386966,549452.3158356741,306852.31583567406,126.48487874512533,<$500K
758100,755324.2040625941,636336.0358430638,-121763.96415693616,-16.061728552557202,$500K-$1M
593700,893127.1011040058,827411.291030422,233711.29103042197,39.365216612838466,$500K-$1M
653600,727187.6994972572,615067.6071560117,-38532.39284398826,-5.895408941858669,$500K-$1M
635100,723475.8469224222,633972.2959610343,-1127.7040389657486,-0.17756322452617676,$500K-$1M
1206400,1212588.309187218,1336944.1028643288,130544.10286432877,10.820963433714255,$1M-$2M
820900,714690.3357700661,735398.509826773,-85501.49017322704,-10.415579263397131,$500K-$1M
461900,163593.18057394063,584380.9078951238,122480.90789512382,26.516758583053434,<$500K
723200,1188016.3515511067,835002.3464221897,111802.34642218973,15.459395246431102,$500K-$1M
798600,943398.6682658867,773367.5039232341,-25232.496076765936,-3.1595912943608737,$500K-$1M
639900,875044.8608718393,703505.0727867654,63605.072786765406,9.939845723826442,$500K-$1M
661300,979239.6362382675,826725.8919231907,165425.89192319068,25.015256604141946,$500K-$1M
699100,782932.3681538696,675278.7311095719,-23821.268890428124,-3.4074193806934807,$500K-$1M
1234800,775582.3078860398,1328752.0751964247,93952.07519642473,7.608687657630769,$1M-$2M
826200,614262.3513073608,617382.9268544569,-208817.0731455431,-25.2743976211018,$500K-$1M
676800,1205795.107509303,903430.9185952618,226630.91859526176,33.48565582081291,$500K-$1M
549200,825363.5407502303,561893.8202654313,12693.820265431306,2.3113292544485264,$500K-$1M
713700,574416.2885003766,625855.6720447004,-87844.32795529964,-12.308298718691276,$500K-$1M
596600,558242.5800094308,547275.6250229311,-49324.37497706886,-8.26757877590829,$500K-$1M
516700,323313.3744618321,530611.2777570743,13911.277757074335,2.6923316735193215,$500K-$1M
711500,651714.9524660921,656231.7759246193,-55268.22407538071,-7.767845969835658,$500K-$1M
662400,573561.1540237936,595162.0415519612,-67237.95844803879,-10.150657978266725,$500K-$1M
649800,402127.7242484306,609641.9981812718,-40158.00181872817,-6.180055681552504,$500K-$1M
914300,1045073.6789093578,954052.7993453227,39752.79934532265,4.347894492543219,$500K-$1M
648200,279284.68155715906,554513.9621110139,-93686.03788898606,-14.453261013419633,$500K-$1M
831100,839921.6550462326,737983.0665544188,-93116.93344558123,-11.204058891298429,$500K-$1M
914800,1210724.1574398242,872068.199923469,-42731.80007653101,-4.67116310412451,$500K-$1M
708900,1188414.2452952163,787585.4636345048,78685.46363450482,11.099656317464355,$500K-$1M
795000,940881.3121736014,832458.4100315694,37458.41003156942,4.711749689505588,$500K-$1M
765500,498486.4407426489,727082.4380917355,-38417.56190826453,-5.018623371425804,$500K-$1M
970900,1085490.5832709726,1048388.9184696064,77488.91846960643,7.981143111505452,$500K-$1M
495700,543664.1498127774,613415.4185574565,117715.41855745646,23.7473105825008,<$500K
473200,658523.8709409877,649153.927238903,175953.927238903,37.18383923053741,<$500K
